Артикул,Имя атрибута 1,Значение(-я) аттрибута(-ов) 1,Видимость атрибута 1,Глобальный атрибут 1,Имя атрибута 2,Значение(-я) аттрибута(-ов) 2,Видимость атрибута 2,Глобальный атрибут 2,Имя атрибута 3,Значение(-я) аттрибута(-ов) 3,Видимость атрибута 3,Глобальный атрибут 3,Имя атрибута 4,Значение(-я) аттрибута(-ов) 4,Видимость атрибута 4,Глобальный атрибут 4,Имя атрибута 5,Значение(-я) аттрибута(-ов) 5,Видимость атрибута 5,Глобальный атрибут 5,Pillowcases,70*70,1,1
18533,Size,30*45,1,1,Country,Украина,1,1,,,,,Brand,IzziHome,1,1,,,,,,,,
18748,Size,40*40,1,1,Country,Украина,1,1,,,,,Brand,IzziHome,1,1,,,,,,,,
18601,Size,35*35,1,1,Country,Украина,1,1,,,,,Brand,IzziHome,1,1,,,,,,,,
7642_1.5LH_п,Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE ,1,1,,,,,,,,
7642_2.0LH_п,Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE ,1,1,,,,,,,,
5693_1.5LH_п,Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE ,1,1,,,,,,,,
9865_1.5LH_п,Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE ,1,1,,,,,,,,
9865_2.0LH_п,Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE ,1,1,,,,,,,,
11488-02_2.0LH_п,Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE ,1,1,,,,,,,,
9637-01_2.0LH_п,Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE ,1,1,,,,,,,,
9863-01_1.5LH_п,Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE ,1,1,,,,,,,,
9863-02_1.5LH_п,Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE ,1,1,,,,,,,,
5117_2.0LH_п,Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE ,1,1,,,,,,,,
9577_2.0LH_п,Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE ,1,1,,,,,,,,
"34427_1,5",Size,Полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34625_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34434_1,5",Size,Полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34632_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34465_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34472_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34298_1,5",Size,Полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34489_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
55267_2.0LH,Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34649_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
4258-01_2.0LH,Size,Евро,1,1,Country,Турция,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
4258-02_2.0LH,Size,Евро,1,1,Country,Турция,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
"34304_1,5",Size,Полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34496_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
7642_1.5LH,Size,Полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
7642_2.0LH,Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
5693_1.5LH,Size,Полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
5693_2.0LH,Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34502_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
9865_1.5LH,Size,Полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
9865_2.0LH,Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
8698-01_2.0LH,Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
8698-02_2.0LH,Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
57180_2.0LH,Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
38663-01_2.0LH,Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34311_1,5",Size,Полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34519_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34441_1,5",Size,Полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34656_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
11488-01_2.0LH,Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
11488-02_1.5LH,Size,Полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
11488-02_2.0LH,Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34328_1,5",Size,Полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34526_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
11149-01_1.5LH,Size,Полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
11149-02_1.5LH,Size,Полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
11452_1.5LH,Size,Полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
11452_2.0LH,Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34335_1,5",Size,Полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34533_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
4447_2.0LH,Size,Евро,1,1,Country,Турция,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
"34373_1,5",Size,Полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34571_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34403_1,5",Size,Полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34601_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34397_1,5",Size,Полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34595_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34380_1,5",Size,Полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34588_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
2255_2.0LH,Size,Евро,1,1,Country,Турция,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
4521_1.5LH,Size,Полуторный,1,1,Country,Турция,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
4521_2.0LH,Size,Евро,1,1,Country,Турция,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
9637-02_2.0LH,Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
9637-01_2.0LH,Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
12421-01_2.0LH,Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34410_1,5",Size,Полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34618_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
